product_id,price,shipping_cost,marketing_budget,material_quality,category,season,customer_reviews,competition_level,is_bestseller
P0050,9.64,2.92,253.0,5.0,Beauty,Winter,2.8,3,1
P0051,41.55,5.7,1948.0,7.0,Sports,Fall,2.9,3,1
P0052,25.29,4.29,312.0,5.0,Toys,Winter,2.0,5,0
P0053,20.62,3.98,901.0,6.0,Electronics,Fall,2.9,3,1
P0054,50.81,5.99,1780.0,7.0,Beauty,Spring,3.1,2,1
P0055,68.15,6.72,639.0,7.0,Sports,Spring,3.5,4,0
P0056,63.55,4.67,1148.0,2.0,Electronics,Fall,1.5,3,0
P0057,18.4,4.47,358.0,4.0,Sports,Spring,2.3,3,0
P0058,26.67,3.52,525.0,8.0,Apparel,Spring,3.0,2,1
P0059,41.76,5.84,520.0,6.0,Sports,Fall,3.7,1,1
P0060,65.55,6.07,272.0,5.0,Electronics,Winter,2.5,3,0
P0061,23.68,7.92,538.0,4.0,Electronics,Fall,2.5,4,0
P0062,29.08,3.48,104.0,4.0,Home,Summer,1.9,3,0
P0063,15.27,3.05,369.0,2.0,Home,Spring,1.6,5,0
P0064,14.33,3.43,473.0,6.0,Apparel,Fall,2.4,2,1
P0065,58.48,4.71,489.0,5.0,Apparel,Spring,2.7,2,0
P0066,85.57,5.49,498.0,4.0,Electronics,Winter,2.1,3,0
P0067,31.49,7.0,618.0,6.0,Home,Spring,2.9,3,1
P0068,66.85,4.94,1182.0,7.0,Beauty,Fall,3.5,4,1
P0069,42.66,4.26,1900.0,10.0,Toys,Winter,3.8,2,1
P0070,21.08,5.27,305.0,3.0,Electronics,Winter,1.6,5,0
P0071,42.65,4.68,157.0,8.0,Sports,Winter,3.8,5,0
P0072,97.19,7.66,190.0,8.0,Electronics,Summer,4.4,3,0
P0073,32.3,3.57,371.0,5.0,Sports,Fall,2.5,4,0
P0074,99.01,6.47,436.0,6.0,Apparel,Fall,3.1,2,0
P0075,5.29,2.71,264.0,5.0,Electronics,Winter,2.5,4,0
P0076,58.87,4.36,140.0,6.0,Home,Spring,3.7,4,0
P0077,35.2,7.11,385.0,9.0,Apparel,Winter,3.3,4,1
P0078,26.86,3.53,827.0,7.0,Sports,Summer,3.3,3,1
P0079,35.31,4.7,1358.0,7.0,Beauty,Winter,2.6,1,1
P0080,8.24,3.54,341.0,5.0,Electronics,Fall,1.5,2,0
P0081,28.4,3.99,405.0,3.0,Electronics,Winter,2.0,2,0
P0082,42.52,7.23,219.0,6.0,Beauty,Spring,3.0,2,0
P0083,93.18,5.33,641.0,8.0,Sports,Fall,3.5,3,1
P0084,23.04,4.83,240.0,3.0,Electronics,Spring,1.8,2,0
P0085,18.8,8.03,1323.0,4.0,Electronics,Winter,,2,1
P0086,23.31,4.43,78.0,6.0,Home,Fall,2.8,2,0
P0087,62.85,8.53,432.0,4.0,Home,Summer,2.4,2,0
P0088,41.68,3.83,955.0,5.0,Apparel,Fall,2.3,4,0
P0089,22.85,4.0,829.0,5.0,Electronics,Spring,2.7,2,1
P0090,47.43,4.37,16842.0,4.0,Beauty,Fall,2.1,2,1
P0091,35.44,5.53,1012.0,4.0,Home,Summer,2.0,2,0
P0092,65.24,10.43,199.0,7.0,Toys,Summer,4.0,3,0
P0093,20.26,3.55,,4.0,Sports,Summer,2.7,4,0
P0094,26.33,4.88,79.0,3.0,Toys,Summer,1.9,1,0
P0095,25.17,3.59,604.0,5.0,Apparel,Spring,1.6,4,0
P0096,11.89,4.11,245.0,7.0,Sports,Fall,3.1,5,0
P0097,40.74,4.66,1995.0,6.0,Apparel,Winter,4.0,2,1
P0098,39.76,9.06,344.0,5.0,Home,Summer,2.5,2,0
P0099,33.23,4.9,578.0,,Electronics,Winter,3.3,2,1
P0100,28.1,3.99,310.0,3.0,Electronics,Winter,2.4,2,0
P0101,12.3,3.05,5359.0,7.0,Beauty,Fall,,3,1
P0102,24.67,3.49,452.0,7.0,Beauty,Winter,2.9,1,1
P0103,26.05,3.66,5997.0,5.0,Apparel,Winter,1.6,2,1
P0104,18.89,3.5,1767.0,8.0,Home,Spring,3.9,5,1
P0105,29.58,6.24,,4.0,Electronics,Winter,1.9,2,1
P0106,43.94,5.05,1035.0,8.0,Electronics,Fall,3.7,4,1
P0107,124.01,7.33,1067.0,6.0,Beauty,Winter,2.4,3,0
P0108,37.42,3.81,66.0,5.0,Electronics,Fall,2.4,1,0
P0109,39.66,6.64,476.0,6.0,Toys,Summer,2.9,4,0
P0110,31.43,5.37,1834.0,6.0,Apparel,Winter,3.0,3,1
P0111,8.64,2.86,627.0,8.0,Home,Winter,3.2,2,1
P0112,32.51,5.32,123.0,4.0,Home,Winter,2.7,3,0
P0113,34.54,4.71,625.0,5.0,Electronics,Summer,2.3,4,0
P0114,185.73,8.2,5141.0,8.0,Electronics,Spring,2.9,4,0
P0115,28.94,4.29,2970.0,5.0,Beauty,Winter,2.5,4,1
P0116,40.9,4.72,617.0,8.0,Sports,Fall,3.6,3,1
P0117,32.32,3.74,2083.0,9.0,Electronics,Spring,4.0,1,1
P0118,14.61,7.31,428.0,5.0,Electronics,Spring,3.1,2,1
P0119,73.7,7.56,86.0,7.0,Apparel,Spring,3.2,5,0
P0120,56.06,5.84,219.0,4.0,Apparel,Winter,2.2,4,0
P0121,57.61,5.16,4339.0,7.0,Electronics,Summer,2.8,5,1
P0122,17.52,3.82,479.0,6.0,Apparel,Summer,3.2,5,1
P0123,88.41,6.73,497.0,7.0,Beauty,Winter,3.3,3,0
P0124,12.41,4.05,464.0,5.0,Sports,Fall,2.4,3,0
P0125,49.94,4.09,6535.0,3.0,Toys,Fall,1.1,3,0
P0126,153.44,8.18,4680.0,7.0,Home,Fall,3.8,1,1
P0127,16.55,5.46,9533.0,2.0,Toys,Winter,1.0,3,0
P0128,22.28,4.09,550.0,5.0,Home,Summer,2.3,4,0
P0129,35.51,3.65,948.0,8.0,Home,Winter,3.7,2,1
P0130,23.28,5.51,108.0,6.0,Toys,Summer,2.4,3,0
P0131,11.18,3.17,3914.0,10.0,Home,Spring,3.7,4,1
P0132,34.74,3.99,164.0,8.0,Apparel,Winter,2.8,2,1
P0133,15.74,3.24,863.0,5.0,Sports,Summer,2.8,2,1
P0134,46.13,4.49,178.0,6.0,Beauty,Spring,2.7,2,0
P0135,17.4,5.14,328.0,6.0,Sports,Spring,4.1,2,1
P0136,98.0,6.54,244.0,3.0,Home,Winter,1.5,1,0
P0137,19.14,3.42,321.0,4.0,Home,Summer,1.8,2,1
P0138,26.43,6.45,348.0,5.0,Toys,Spring,2.3,5,0
P0139,58.53,7.43,344.0,2.0,Apparel,Winter,1.6,2,0
P0140,13.99,5.99,1808.0,6.0,Home,Spring,2.7,3,1
P0141,38.83,4.07,177.0,6.0,Electronics,Fall,3.1,2,1
P0142,82.68,5.88,867.0,3.0,Home,Winter,1.5,4,0
P0143,10.75,9.12,2869.0,7.0,Home,Spring,2.7,5,1
P0144,37.68,5.85,359.0,7.0,Apparel,Winter,2.5,4,0
P0145,39.72,3.73,281.0,6.0,Apparel,Winter,2.0,3,0
P0146,57.24,4.32,504.0,5.0,Home,Summer,2.3,3,0
P0147,13.93,3.85,2740.0,7.0,Apparel,Summer,3.1,2,1
P0148,13.14,6.49,,7.0,Electronics,Spring,,5,0
P0149,47.72,5.09,352.0,7.0,Beauty,Winter,3.7,2,1
P0150,40.77,4.76,1189.0,5.0,Electronics,Winter,3.0,4,0
P0151,39.46,3.85,177.0,6.0,Electronics,Fall,2.8,4,0
P0152,42.2,5.37,,8.0,Toys,Winter,2.9,2,1
P0153,20.57,5.71,1086.0,5.0,Apparel,Summer,2.3,4,1
P0154,38.96,4.39,460.0,10.0,Electronics,Winter,4.1,4,1
P0155,40.66,5.96,243.0,5.0,Home,Summer,2.3,5,0
P0156,20.08,8.11,230.0,6.0,Sports,Fall,2.6,2,1
P0157,122.25,6.51,,5.0,Beauty,Spring,2.3,1,0
P0158,46.14,5.0,2907.0,6.0,Beauty,Summer,2.7,2,1
P0159,14.38,3.44,310.0,3.0,Sports,Spring,1.6,3,0
P0160,52.44,6.43,1153.0,5.0,Apparel,Spring,2.6,3,0
P0161,16.74,4.29,54.0,4.0,Apparel,Spring,2.3,3,0
P0162,57.45,5.73,330.0,6.0,Electronics,Spring,2.5,1,0
P0163,74.52,7.13,641.0,8.0,Apparel,Summer,4.1,4,1
P0164,18.64,3.82,223.0,7.0,Sports,Fall,2.9,5,0
P0165,65.0,8.15,216.0,2.0,Home,Winter,1.0,4,0
P0166,44.21,4.97,298.0,10.0,Apparel,Summer,4.5,4,1
P0167,58.88,4.52,944.0,7.0,Beauty,Fall,2.9,4,1
P0168,124.93,8.03,531.0,5.0,Apparel,Winter,2.7,3,0
P0169,27.89,5.7,50.0,6.0,Electronics,Spring,1.9,4,0
P0170,19.54,3.66,52.0,6.0,Home,Winter,3.5,3,1
P0171,17.77,5.95,321.0,5.0,Electronics,Winter,2.8,3,1
P0172,18.71,6.61,1152.0,6.0,Electronics,Fall,2.3,2,1
P0173,31.38,3.93,50.0,5.0,Apparel,Winter,2.0,3,0
P0174,42.05,9.92,365.0,5.0,Electronics,Spring,3.2,3,0
P0175,40.19,3.93,354.0,,Sports,Summer,2.3,3,0
P0176,59.09,4.61,3519.0,3.0,Beauty,Summer,1.5,3,0
P0177,33.42,3.81,419.0,6.0,Electronics,Fall,2.0,4,0
P0178,91.6,8.61,1053.0,7.0,Electronics,Spring,3.1,4,0
P0179,27.52,4.92,788.0,7.0,Sports,Spring,3.2,5,1
P0180,222.32,9.42,52.0,7.0,Toys,Winter,3.5,3,0
P0181,51.31,4.91,1672.0,7.0,Electronics,Fall,2.7,1,1
P0182,18.17,4.48,861.0,5.0,Electronics,Spring,1.9,3,1
P0183,15.65,3.1,1224.0,8.0,Sports,Spring,3.8,3,1
P0184,46.42,7.1,20000.0,4.0,Home,Spring,2.6,1,1
P0185,28.32,5.79,55.0,4.0,Apparel,Summer,1.6,5,0
P0186,54.59,5.19,5269.0,4.0,Home,Summer,2.6,3,1
P0187,46.12,9.01,471.0,8.0,Apparel,Summer,3.6,3,1
P0188,31.47,4.26,939.0,8.0,Electronics,Winter,4.0,5,1
P0189,18.31,9.26,630.0,7.0,Electronics,Winter,3.2,2,1
P0190,11.47,4.5,400.0,8.0,Beauty,Winter,2.6,4,1
P0191,24.23,4.74,336.0,4.0,Electronics,Spring,2.1,3,0
P0192,60.31,4.58,988.0,7.0,Electronics,Summer,3.7,3,1
P0193,38.47,6.86,108.0,6.0,Apparel,Spring,2.5,2,0
P0194,13.85,3.75,1637.0,8.0,Beauty,Spring,3.4,5,1
P0195,37.38,3.89,404.0,6.0,Apparel,Fall,2.8,3,1
P0196,43.37,3.82,171.0,,Electronics,Spring,1.4,4,0
P0197,17.84,4.27,388.0,,Apparel,Winter,3.9,1,1
P0198,36.88,4.73,3007.0,8.0,Sports,Summer,3.2,4,1
P0199,34.49,5.44,350.0,5.0,Electronics,Summer,2.8,4,0
P0200,14.88,6.26,1023.0,6.0,Electronics,Spring,2.9,3,0
P0201,42.54,3.9,277.0,4.0,Electronics,Winter,2.7,3,0
P0202,49.04,5.94,,2.0,Beauty,Winter,1.7,3,0
P0203,70.68,4.93,1514.0,6.0,Home,Winter,2.8,5,0
P0204,69.25,7.51,6114.0,,Sports,Summer,2.9,1,1
P0205,12.62,5.44,539.0,6.0,Beauty,Winter,3.2,4,1
P0206,17.18,4.18,1484.0,2.0,Beauty,Winter,1.0,2,0
P0207,47.49,5.78,748.0,5.0,Electronics,Spring,2.8,3,0
P0208,47.45,4.49,3150.0,2.0,Toys,Fall,1.1,3,0
P0209,47.49,4.88,281.0,8.0,Apparel,Winter,4.1,2,1
P0210,249.99,12.59,,4.0,Electronics,Spring,2.3,3,0
P0211,49.38,4.9,527.0,8.0,Beauty,Spring,3.9,2,1
P0212,73.32,5.36,616.0,8.0,Electronics,Winter,3.6,4,1
P0213,64.57,5.46,743.0,4.0,Electronics,Fall,1.5,1,0
P0214,52.25,6.71,900.0,4.0,Electronics,Summer,1.9,4,0
P0215,26.56,3.91,579.0,7.0,Home,Fall,3.5,3,1
P0216,56.33,4.48,861.0,4.0,Electronics,Winter,2.3,2,0
P0217,19.28,4.95,4419.0,6.0,Sports,Fall,3.4,3,1
P0218,28.06,5.96,2170.0,,Beauty,Spring,2.7,1,1
P0219,23.58,3.37,,3.0,Home,Spring,1.5,3,1
P0220,35.07,3.96,385.0,2.0,Apparel,Fall,1.2,1,0
P0221,167.38,7.75,229.0,6.0,Toys,Summer,2.9,4,0
P0222,8.96,3.41,2093.0,5.0,Electronics,Fall,1.6,2,1
P0223,53.54,5.0,1903.0,5.0,Apparel,Winter,3.2,2,1
P0224,10.71,4.89,3894.0,7.0,Apparel,Summer,3.4,3,1
P0225,23.8,4.79,322.0,8.0,Home,Fall,4.1,2,1
P0226,70.97,6.08,505.0,6.0,Apparel,Fall,2.3,3,0
P0227,34.64,4.19,93.0,5.0,Apparel,Summer,3.0,1,0
P0228,15.57,5.73,415.0,7.0,Electronics,Fall,4.1,4,1
P0229,20.07,4.06,2199.0,4.0,Electronics,Winter,1.7,5,0
P0230,53.29,9.9,380.0,6.0,Home,Spring,3.2,5,0
P0231,19.86,4.6,1435.0,7.0,Sports,Winter,3.3,3,1
P0232,38.53,3.86,529.0,7.0,Sports,Fall,2.6,4,0
P0233,34.19,5.22,981.0,3.0,Electronics,Spring,2.0,1,0
P0234,20.99,3.72,168.0,5.0,Apparel,Summer,2.9,5,0
P0235,148.53,8.7,737.0,4.0,Toys,Winter,2.0,4,0
P0236,51.61,4.16,50.0,6.0,Apparel,Summer,3.4,2,0
P0237,8.02,3.03,532.0,7.0,Beauty,Spring,2.6,4,1
P0238,37.73,6.54,94.0,9.0,Apparel,Fall,3.4,3,0
P0239,20.84,3.51,2828.0,5.0,Toys,Spring,2.6,2,1
P0240,60.14,7.03,1691.0,5.0,Electronics,Spring,2.6,4,0
P0241,19.02,3.56,1164.0,8.0,Electronics,Summer,3.3,2,1
P0242,30.56,4.96,4127.0,7.0,Sports,Winter,3.6,4,1
P0243,47.16,5.69,213.0,8.0,Home,Spring,3.8,2,1
P0244,60.71,5.4,,7.0,Electronics,Fall,3.6,2,1
P0245,14.29,3.48,2036.0,4.0,Home,Spring,2.2,2,1
P0246,26.2,3.64,501.0,4.0,Sports,Summer,2.4,4,1
P0247,23.75,3.26,2599.0,3.0,Apparel,Winter,1.7,2,1
P0248,20.96,3.67,176.0,7.0,Apparel,Fall,,1,1
P0249,113.96,7.51,247.0,8.0,Electronics,Summer,3.3,2,0
P0250,43.97,8.0,320.0,9.0,Apparel,Spring,4.8,3,1
P0251,13.7,5.99,353.0,8.0,Home,Spring,3.6,2,1
P0252,62.96,6.57,187.0,8.0,Apparel,Winter,3.0,2,0
P0253,146.28,9.22,2886.0,5.0,Electronics,Summer,3.1,5,0
P0254,68.22,6.19,488.0,,Apparel,Summer,2.3,2,0
P0255,11.43,3.3,1015.0,8.0,Electronics,Winter,3.9,3,1
P0256,23.6,6.77,335.0,7.0,Apparel,Fall,3.7,3,0
P0257,80.39,6.58,75.0,6.0,Apparel,Summer,3.0,2,0
P0258,20.18,4.34,920.0,7.0,Apparel,Winter,3.0,4,1
P0259,45.18,4.03,67.0,7.0,Toys,Summer,3.6,4,0
P0260,56.95,5.1,613.0,8.0,Apparel,Winter,3.6,3,1
P0261,17.31,3.94,129.0,8.0,Sports,Spring,3.9,2,1
P0262,31.76,6.45,7221.0,7.0,Apparel,Spring,2.4,5,1
P0263,4.99,3.84,1986.0,8.0,Apparel,Summer,3.8,3,1
P0264,16.17,3.7,755.0,7.0,Electronics,Summer,3.0,5,1
P0265,27.75,8.98,3030.0,5.0,Electronics,Spring,3.2,1,1
P0266,13.83,3.09,241.0,7.0,Toys,Fall,3.5,3,1
P0267,103.82,6.44,1277.0,3.0,Toys,Winter,1.9,5,0
P0268,12.17,2.93,845.0,8.0,Sports,Fall,3.8,3,1
P0269,24.34,5.25,913.0,4.0,Home,Fall,1.8,3,1
P0270,36.29,7.34,3062.0,7.0,Electronics,Fall,3.9,3,1
P0271,90.82,5.72,1602.0,,Electronics,Spring,3.0,2,0
P0272,12.12,5.8,941.0,7.0,Toys,Summer,3.4,3,1
P0273,74.75,5.26,91.0,6.0,Home,Fall,3.5,3,0
P0274,33.35,7.13,210.0,3.0,Home,Spring,1.6,2,0
P0275,16.66,5.1,,,Apparel,Winter,2.9,4,1
P0276,45.76,6.32,744.0,5.0,Apparel,Summer,2.6,4,1
P0277,38.07,3.67,171.0,8.0,Toys,Winter,3.8,3,1
P0278,21.76,8.09,12016.0,6.0,Electronics,Fall,2.7,4,1
P0279,34.77,5.49,4104.0,7.0,Electronics,Summer,3.5,3,1
P0280,25.29,3.8,1370.0,4.0,Apparel,Fall,2.3,2,1
P0281,35.85,6.23,725.0,5.0,Beauty,Summer,2.2,2,0
P0282,52.64,4.58,516.0,5.0,Apparel,Fall,2.8,3,0
P0283,100.51,8.61,212.0,8.0,Beauty,Winter,,2,0
P0284,13.92,3.1,730.0,9.0,Apparel,Winter,,2,1
P0285,147.4,8.75,,5.0,Beauty,Fall,3.0,2,0
P0286,8.44,3.92,150.0,8.0,Sports,Summer,3.1,5,1
P0287,29.78,3.55,993.0,2.0,Apparel,Winter,,1,1
P0288,49.99,4.42,,4.0,Home,Summer,1.7,3,0
P0289,40.31,3.73,67.0,4.0,Electronics,Summer,1.8,5,0
P0290,21.42,4.09,237.0,4.0,Apparel,Winter,1.9,3,0
P0291,28.63,3.9,405.0,3.0,Beauty,Spring,1.5,4,0
P0292,23.45,4.57,6408.0,7.0,Electronics,Spring,3.0,3,1
P0293,21.92,3.69,1297.0,6.0,Electronics,Summer,2.8,2,1
P0294,60.02,4.84,134.0,7.0,Apparel,Winter,3.6,1,1
P0295,42.52,5.81,1192.0,7.0,Electronics,Spring,3.1,3,1
P0296,20.39,3.19,104.0,6.0,Beauty,Fall,2.3,2,0
P0297,62.16,7.86,2439.0,7.0,Electronics,Summer,3.7,2,1
P0298,41.06,6.6,378.0,6.0,Toys,Spring,,2,0
P0299,58.5,5.91,594.0,4.0,Toys,Winter,2.2,5,0
P0300,51.46,5.39,3265.0,8.0,Apparel,Winter,3.8,5,1
P0301,18.54,6.4,142.0,5.0,Apparel,Summer,2.6,3,0
P0302,22.37,3.48,124.0,4.0,Beauty,Winter,2.6,2,1
P0303,55.87,4.3,330.0,6.0,Electronics,Fall,3.1,2,0
P0304,50.77,4.43,2312.0,4.0,Apparel,Fall,1.9,4,0
P0305,32.63,5.85,107.0,5.0,Electronics,Spring,3.4,5,0
P0306,35.95,3.63,50.0,7.0,Home,Winter,3.3,3,0
P0307,80.99,6.24,387.0,7.0,Sports,Fall,3.2,1,1
P0308,21.89,11.24,1290.0,4.0,Apparel,Summer,2.6,4,0
P0309,48.57,6.86,2808.0,5.0,Apparel,Winter,2.6,4,1
P0310,28.75,4.47,382.0,8.0,Toys,Spring,3.8,1,1
P0311,28.44,3.45,406.0,,Sports,Summer,4.2,3,1
P0312,71.46,7.31,2656.0,10.0,Home,Summer,4.2,4,1
P0313,59.01,5.64,71.0,8.0,Sports,Summer,3.5,3,0
P0314,58.53,4.44,417.0,8.0,Electronics,Fall,3.6,2,1
P0315,82.59,5.13,836.0,4.0,Sports,Summer,2.6,4,0
P0316,33.61,7.11,1140.0,7.0,Electronics,Fall,2.6,3,1
P0317,53.38,5.76,361.0,6.0,Apparel,Summer,2.1,1,0
P0318,26.65,5.95,693.0,5.0,Sports,Fall,2.3,1,1
P0319,41.55,6.91,50.0,6.0,Electronics,Winter,2.2,5,0
P0320,30.23,4.68,302.0,8.0,Toys,Fall,3.4,4,0
P0321,35.44,4.66,1146.0,7.0,Electronics,Fall,3.5,3,1
P0322,50.23,4.85,205.0,4.0,Toys,Winter,1.8,2,0
P0323,18.68,3.63,714.0,7.0,Toys,Summer,2.7,2,1
P0324,143.26,7.65,1137.0,5.0,Apparel,Winter,2.6,2,0
P0325,16.38,5.22,441.0,6.0,Sports,Summer,3.2,2,1
P0326,14.16,4.31,816.0,5.0,Electronics,Fall,1.9,1,1
P0327,74.49,8.08,209.0,6.0,Beauty,Summer,3.2,2,0
P0328,57.64,5.11,519.0,7.0,Electronics,Fall,3.6,3,1
P0329,51.26,5.44,,4.0,Sports,Summer,2.6,4,0
P0330,51.41,5.54,803.0,10.0,Electronics,Fall,4.8,3,1
P0331,32.83,4.83,329.0,3.0,Apparel,Fall,,4,0
P0332,17.67,4.85,870.0,5.0,Apparel,Spring,2.4,5,0
P0333,34.92,3.95,1568.0,7.0,Electronics,Summer,3.3,4,1
P0334,20.61,4.2,57.0,7.0,Sports,Summer,3.1,4,0
P0335,65.53,4.63,2673.0,6.0,Home,Spring,2.9,3,1
P0336,29.88,4.12,444.0,6.0,Home,Fall,3.5,2,1
P0337,18.58,4.06,1108.0,7.0,Electronics,Fall,2.7,4,1
P0338,26.44,4.88,2798.0,6.0,Electronics,Spring,2.6,5,1
P0339,44.21,8.34,128.0,9.0,Apparel,Spring,4.5,3,1
P0340,22.32,4.55,284.0,8.0,Sports,Winter,4.0,5,1
P0341,18.62,5.1,,8.0,Toys,Fall,3.5,1,1
P0342,39.27,4.74,260.0,4.0,Electronics,Winter,2.5,2,0
P0343,39.31,5.19,5334.0,6.0,Apparel,Summer,3.0,4,1
P0344,23.22,3.31,238.0,5.0,Apparel,Winter,3.2,3,1
P0345,23.81,3.65,341.0,4.0,Home,Spring,2.2,5,0
P0346,38.96,4.34,850.0,7.0,Home,Spring,3.7,3,1
P0347,12.02,3.82,157.0,5.0,Sports,Spring,3.6,2,1
P0348,12.36,2.94,414.0,7.0,Electronics,Spring,3.5,3,1
P0349,20.03,3.33,,4.0,Sports,Winter,2.2,1,1
P0350,28.52,3.84,446.0,9.0,Home,Winter,,2,1
P0351,41.17,9.07,595.0,4.0,Electronics,Winter,2.1,4,0
P0352,93.01,5.89,352.0,6.0,Electronics,Spring,3.9,4,0
P0353,60.36,5.3,108.0,7.0,Apparel,Spring,3.3,3,0
P0354,29.61,3.72,978.0,5.0,Electronics,Fall,2.4,1,1
P0355,32.68,4.9,5464.0,8.0,Beauty,Fall,3.3,3,1
P0356,16.42,3.49,680.0,4.0,Electronics,Spring,2.6,2,0
P0357,32.69,3.83,872.0,9.0,Beauty,Fall,4.3,4,1
P0358,27.06,4.4,1527.0,6.0,Home,Summer,2.7,2,1
P0359,41.51,3.75,145.0,5.0,Apparel,Summer,2.8,2,0
P0360,18.56,3.07,5131.0,5.0,Home,Spring,1.9,3,1
P0361,47.63,4.3,848.0,7.0,Electronics,Winter,3.3,2,1
P0362,96.83,5.46,4714.0,5.0,Electronics,Summer,2.7,5,0
P0363,30.69,3.59,276.0,5.0,Apparel,Summer,3.2,2,1
P0364,43.87,4.44,5894.0,6.0,Electronics,Winter,2.6,1,1
P0365,53.68,6.54,1686.0,4.0,Apparel,Fall,1.7,1,1
P0366,25.01,4.52,1292.0,9.0,Apparel,Winter,3.6,3,1
P0367,38.74,4.74,881.0,5.0,Electronics,Fall,2.0,2,0
P0368,33.41,4.02,494.0,7.0,Electronics,Fall,3.8,1,1
P0369,35.46,7.59,2809.0,6.0,Toys,Winter,3.5,4,1
P0370,19.28,3.84,787.0,4.0,Electronics,Fall,2.3,4,0
P0371,33.69,3.65,63.0,6.0,Sports,Summer,3.4,3,0
P0372,46.93,5.35,174.0,7.0,Electronics,Spring,3.3,5,0
P0373,91.45,5.42,532.0,6.0,Sports,Fall,2.9,4,0
P0374,64.81,5.08,965.0,8.0,Electronics,Summer,3.5,2,1
P0375,149.49,8.05,621.0,8.0,Toys,Winter,3.5,2,0
P0376,19.35,6.19,2872.0,8.0,Electronics,Fall,3.0,4,1
P0377,60.98,5.35,,5.0,Beauty,Summer,2.7,3,0
P0378,37.65,5.45,790.0,4.0,Electronics,Fall,2.2,3,0
P0379,153.37,14.51,75.0,5.0,Apparel,Winter,2.8,2,0
P0380,18.81,3.28,1655.0,6.0,Home,Spring,2.9,4,1
