"utente_key","id_utente","eta","tipo_abbonamento_corrente","recency_giorni","frequency","monetary_minuti","durata_media_minuti","distanza_media_km","totale_bici_usate","totale_citta_visitate","is_churn"
28,28,43,"Annuale",581,"6","116","19.3333333333333333","1.3983333333333333","3","2",1
29,29,35,"Annuale",539,"7","95","13.5714285714285714","1.8628571428571429","3","3",1
30,30,35,"Annuale",792,"1","8","8.0000000000000000","0.12000000000000000000","1","1",1
31,31,45,"Mensile",550,"4","48","12.0000000000000000","1.12500000000000000000","2","2",1
32,32,69,"Annuale",844,"1","13","13.0000000000000000","0.75000000000000000000","1","1",1
33,33,57,"Annuale",542,"3","73","24.3333333333333333","1.30666666666666666667","2","2",1
34,34,68,"Annuale",565,"2","32","16.0000000000000000","2.3650000000000000","2","1",1
35,35,58,"Annuale",562,"3","23","7.6666666666666667","1.29333333333333333333","2","2",1
36,36,63,"Annuale",546,"2","33","16.5000000000000000","2.9750000000000000","2","1",1
37,37,54,"Annuale",844,"1","6","6.0000000000000000","1.04000000000000000000","1","1",1
38,38,62,"Annuale",559,"1","12","12.0000000000000000","1.51000000000000000000","1","1",1
39,39,32,"Mensile",584,"2","58","29.0000000000000000","5.4250000000000000","2","2",1
40,40,28,"Annuale",614,"2","11","5.5000000000000000","0.70500000000000000000","2","2",1
41,41,21,"Annuale",614,"4","60","15.0000000000000000","2.0075000000000000","3","2",1
42,42,36,"Mensile",609,"4","39","9.7500000000000000","1.03500000000000000000","3","2",1
43,43,35,"Mensile",808,"1","12","12.0000000000000000","1.64000000000000000000","1","1",1
44,44,64,"Annuale",585,"4","50","12.5000000000000000","1.9225000000000000","3","2",1
46,46,52,"Mensile",536,"2","39","19.5000000000000000","3.9550000000000000","2","1",1
48,48,19,"Annuale",782,"2","29","14.5000000000000000","2.1900000000000000","1","1",1
49,49,31,"Annuale",551,"3","103","34.3333333333333333","2.7133333333333333","3","2",1
50,50,56,"Mensile",587,"1","13","13.0000000000000000","2.1700000000000000","1","1",1
51,51,57,"Annuale",696,"1","8","8.0000000000000000","0.89000000000000000000","1","1",1
56,56,23,"Mensile",559,"2","32","16.0000000000000000","2.7600000000000000","2","1",1
57,57,28,"Mensile",546,"2","62","31.0000000000000000","3.1750000000000000","1","1",1
58,58,62,"Mensile",790,"2","15","7.5000000000000000","0.88000000000000000000","1","1",1
59,59,53,"Annuale",542,"2","35","17.5000000000000000","3.2400000000000000","2","2",1
60,60,68,"Mensile",609,"1","7","7.0000000000000000","0.97000000000000000000","1","1",1
61,61,44,"Mensile",755,"2","16","8.0000000000000000","0.76500000000000000000","1","1",1
62,62,21,"Mensile",567,"2","29","14.5000000000000000","2.2950000000000000","2","1",1
63,63,23,"Mensile",786,"3","46","15.3333333333333333","1.7533333333333333","2","1",1
65,65,25,"Mensile",840,"2","59","29.5000000000000000","1.19000000000000000000","2","1",1
66,66,33,"Annuale",792,"1","73","73.0000000000000000","1.50000000000000000000","1","1",1
67,67,65,"Mensile",545,"1","13","13.0000000000000000","2.3000000000000000","1","1",1
68,68,25,"Annuale",591,"1","12","12.0000000000000000","1.63000000000000000000","1","1",1
69,69,23,"Mensile",744,"1","7","7.0000000000000000","0.89000000000000000000","1","1",1
70,70,35,"Annuale",535,"2","19","9.5000000000000000","1.34500000000000000000","2","2",1
71,71,69,"Annuale",565,"3","35","11.6666666666666667","1.18333333333333333333","3","2",1
73,73,67,"Annuale",537,"2","24","12.0000000000000000","1.49500000000000000000","2","2",1
74,74,23,"Mensile",567,"2","30","15.0000000000000000","2.8500000000000000","2","1",1
77,77,69,"Mensile",579,"1","5","5.0000000000000000","0.54000000000000000000","1","1",1
80,80,67,"Annuale",621,"1","27","27.0000000000000000","1.56000000000000000000","1","1",1
82,82,45,"Mensile",567,"1","12","12.0000000000000000","2.0300000000000000","1","1",1
83,83,40,"Annuale",795,"1","9","9.0000000000000000","1.39000000000000000000","1","1",1
85,85,66,"Mensile",546,"3","115","38.3333333333333333","2.1833333333333333","2","2",1
86,86,44,"Mensile",845,"2","80","40.0000000000000000","1.13500000000000000000","2","1",1
87,87,49,"Annuale",853,"1","4","4.0000000000000000","0.69000000000000000000","1","1",1
88,88,68,"Annuale",610,"1","10","10.0000000000000000","0.35000000000000000000","1","1",1
89,89,40,"Annuale",838,"1","5","5.0000000000000000","0.89000000000000000000","1","1",1
92,92,57,"Annuale",715,"2","14","7.0000000000000000","1.10500000000000000000","1","1",1
93,93,67,"Mensile",840,"1","14","14.0000000000000000","2.3500000000000000","1","1",1
94,94,66,"Mensile",844,"2","16","8.0000000000000000","0.88500000000000000000","2","1",1
95,95,66,"Annuale",540,"1","21","21.0000000000000000","3.7100000000000000","1","1",1
96,96,33,"Mensile",573,"2","22","11.0000000000000000","2.1750000000000000","2","2",1
97,97,49,"Mensile",583,"2","51","25.5000000000000000","1.6350000000000000","2","2",1
99,99,28,"Annuale",785,"1","26","26.0000000000000000","1.96000000000000000000","1","1",1
101,101,28,"Annuale",694,"2","16","8.0000000000000000","0.62500000000000000000","2","1",1
102,102,34,"Annuale",704,"1","9","9.0000000000000000","1.46000000000000000000","1","1",1
106,106,34,"Annuale",587,"2","35","17.5000000000000000","3.0400000000000000","2","2",1
108,108,47,"Annuale",537,"1","24","24.0000000000000000","3.9600000000000000","1","1",1
109,109,21,"Annuale",571,"2","14","7.0000000000000000","0.88000000000000000000","2","1",1
115,115,38,"Mensile",578,"1","19","19.0000000000000000","3.7600000000000000","1","1",1
118,118,30,"Mensile",844,"1","13","13.0000000000000000","1.42000000000000000000","1","1",1
119,119,56,"Mensile",579,"1","11","11.0000000000000000","1.69000000000000000000","1","1",1
123,123,31,"Annuale",546,"2","81","40.5000000000000000","5.3000000000000000","2","1",1
124,124,47,"Mensile",538,"3","22","7.3333333333333333","0.58000000000000000000","3","2",1
126,126,58,"Annuale",545,"1","5","5.0000000000000000","0.42000000000000000000","1","1",1
131,131,47,"Mensile",808,"1","13","13.0000000000000000","1.76000000000000000000","1","1",1
133,133,33,"Annuale",837,"1","8","8.0000000000000000","0.08000000000000000000","1","1",1
134,134,42,"Annuale",535,"2","39","19.5000000000000000","1.8750000000000000","2","2",1
135,135,27,"Mensile",541,"2","29","14.5000000000000000","2.2400000000000000","2","2",1
138,138,59,"Annuale",822,"1","8","8.0000000000000000","0.68000000000000000000","1","1",1
139,139,31,"Annuale",565,"1","24","24.0000000000000000","5.3800000000000000","1","1",1
140,140,40,"Annuale",838,"1","6","6.0000000000000000","1.08000000000000000000","1","1",1
142,142,31,"Annuale",547,"2","18","9.0000000000000000","1.01500000000000000000","2","2",1
145,145,41,"Annuale",581,"1","26","26.0000000000000000","4.3900000000000000","1","1",1
146,146,48,"Annuale",587,"2","32","16.0000000000000000","1.6050000000000000","2","2",1
148,148,47,"Annuale",570,"2","29","14.5000000000000000","1.5300000000000000","2","2",1
149,149,56,"Annuale",587,"2","13","6.5000000000000000","0.44000000000000000000","2","2",1
153,153,20,"Mensile",564,"2","64","32.0000000000000000","1.5200000000000000","1","2",1
157,157,55,"Annuale",788,"2","12","6.0000000000000000","0.64500000000000000000","2","1",1
159,159,38,"Annuale",716,"1","15","15.0000000000000000","1.01000000000000000000","1","1",1
161,161,46,"Annuale",617,"1","26","26.0000000000000000","4.5400000000000000","1","1",1
163,163,51,"Annuale",554,"2","43","21.5000000000000000","1.6300000000000000","2","1",1
164,164,45,"Annuale",548,"2","21","10.5000000000000000","1.31500000000000000000","2","2",1
165,165,57,"Annuale",541,"2","40","20.0000000000000000","1.42000000000000000000","2","1",1
166,166,48,"Annuale",712,"1","10","10.0000000000000000","0.80000000000000000000","1","1",1
167,167,70,"Mensile",750,"1","11","11.0000000000000000","1.33000000000000000000","1","1",1
172,172,34,"Mensile",583,"1","27","27.0000000000000000","4.0900000000000000","1","1",1
177,177,27,"Mensile",546,"1","61","61.0000000000000000","4.8600000000000000","1","1",1
181,181,38,"Mensile",694,"1","11","11.0000000000000000","1.32000000000000000000","1","1",1
182,182,57,"Annuale",592,"1","21","21.0000000000000000","2.4100000000000000","1","1",1
184,184,43,"Annuale",853,"1","53","53.0000000000000000","1.33000000000000000000","1","1",1
186,186,52,"Mensile",757,"1","5","5.0000000000000000","0.82000000000000000000","1","1",1
189,189,69,"Annuale",562,"2","21","10.5000000000000000","1.03000000000000000000","2","2",1
191,191,44,"Annuale",804,"1","5","5.0000000000000000","1.20000000000000000000","1","1",1
194,194,34,"Annuale",854,"1","8","8.0000000000000000","0.82000000000000000000","1","1",1
198,198,58,"Annuale",742,"2","26","13.0000000000000000","2.4550000000000000","1","1",1
200,200,60,"Annuale",776,"1","7","7.0000000000000000","1.19000000000000000000","1","1",1
201,201,38,"Annuale",565,"1","15","15.0000000000000000","3.4900000000000000","1","1",1
205,205,19,"Mensile",846,"1","8","8.0000000000000000","1.05000000000000000000","1","1",1
216,216,55,"Annuale",721,"1","29","29.0000000000000000","3.1800000000000000","1","1",1
218,218,47,"Annuale",592,"1","22","22.0000000000000000","1.73000000000000000000","1","1",1
227,227,47,"Mensile",764,"2","21","10.5000000000000000","1.5200000000000000","2","1",1
230,230,22,"Mensile",549,"1","22","22.0000000000000000","0.21000000000000000000","1","1",1
232,232,43,"Annuale",541,"2","37","18.5000000000000000","1.7900000000000000","2","2",1
234,234,38,"Annuale",549,"1","6","6.0000000000000000","0.74000000000000000000","1","1",1
238,238,45,"Annuale",801,"1","18","18.0000000000000000","3.4100000000000000","1","1",1
239,239,35,"Annuale",766,"1","6","6.0000000000000000","0.58000000000000000000","1","1",1
241,241,42,"Annuale",556,"1","33","33.0000000000000000","5.8200000000000000","1","1",1
246,246,29,"Mensile",562,"2","31","15.5000000000000000","2.3050000000000000","2","2",1
247,247,18,"Mensile",584,"1","14","14.0000000000000000","1.21000000000000000000","1","1",1
250,250,46,"Mensile",801,"1","21","21.0000000000000000","2.5400000000000000","1","1",1
252,252,27,"Annuale",559,"1","187","187.0000000000000000","3.7200000000000000","1","1",1
255,255,57,"Annuale",611,"2","36","18.0000000000000000","2.4600000000000000","2","2",1
263,263,18,"Mensile",705,"1","4","4.0000000000000000","0.38000000000000000000","1","1",1
279,279,54,"Mensile",548,"1","18","18.0000000000000000","1.58000000000000000000","1","1",1
283,283,52,"Annuale",545,"2","12","6.0000000000000000","0.77500000000000000000","2","2",1
288,288,57,"Annuale",567,"2","39","19.5000000000000000","2.9900000000000000","2","2",1
292,292,32,"Mensile",551,"1","20","20.0000000000000000","2.6400000000000000","1","1",1
294,294,43,"Mensile",572,"2","20","10.0000000000000000","1.02500000000000000000","2","2",1
300,300,27,"Annuale",557,"1","17","17.0000000000000000","2.0000000000000000","1","1",1
