Country,Region,SubRegion,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Spain,Europe,Southern Europe,48.5,50.5,52.9,55.6,58.2,61.4,60.0,61.7,65.1,69.1,73.8,79.1,84.9,82.0,77.8,82.9,88.0,93.5,98.7,104.5,110.4,116.8,123.6,131.0,138.8,133.7,147.1,155.9,165.0,174.7
Netherlands,Europe,Western Europe,32.1,33.4,35.0,36.8,38.5,40.6,39.7,40.8,43.0,45.7,48.8,52.3,56.2,54.2,51.5,54.8,58.2,61.8,65.3,69.1,73.1,77.3,81.8,86.7,91.9,88.5,97.3,103.2,109.2,115.6
Sweden,Europe,Northern Europe,25.8,26.9,28.1,29.6,30.9,32.6,31.9,32.8,34.6,36.7,39.2,42.0,45.1,43.6,41.4,44.0,46.8,49.7,52.4,55.5,58.7,62.1,65.7,69.6,73.8,71.0,78.1,82.8,87.6,92.8
Poland,Europe,Eastern Europe,8.5,9.2,10.1,11.2,12.4,13.8,14.2,15.3,17.0,19.0,21.3,24.0,27.0,27.4,27.2,30.3,33.8,37.7,40.0,43.0,46.5,50.3,54.4,58.9,63.7,64.1,73.5,79.6,86.1,93.2
Czech Republic,Europe,Eastern Europe,5.2,5.7,6.2,6.9,7.7,8.5,8.8,9.5,10.5,11.8,13.2,14.9,16.7,17.0,16.8,18.7,20.9,23.3,24.7,26.6,28.8,31.1,33.6,36.4,39.4,39.6,45.5,49.2,53.3,57.7
Romania,Europe,Eastern Europe,3.1,3.4,3.8,4.2,4.7,5.2,5.4,5.8,6.5,7.2,8.1,9.1,10.3,10.4,10.3,11.5,12.9,14.3,15.2,16.4,17.7,19.1,20.7,22.4,24.2,24.4,28.0,30.3,32.8,35.5
China,Asia Pacific,East Asia,15.2,17.5,20.1,23.1,26.6,30.6,35.2,40.4,46.5,53.5,61.5,70.7,81.3,93.5,107.6,123.7,142.3,163.6,188.2,216.4,248.8,286.2,329.1,378.5,435.2,500.5,575.6,662.0,761.2,875.4
Japan,Asia Pacific,East Asia,95.3,96.2,97.1,94.2,95.1,97.8,95.4,94.8,96.3,99.2,101.5,104.2,107.5,103.8,98.6,101.2,103.5,105.2,106.8,108.5,110.2,112.1,114.0,116.1,118.2,113.8,119.5,121.3,123.2,125.1
South Korea,Asia Pacific,East Asia,28.5,30.7,33.2,30.5,33.8,38.4,40.1,44.3,49.0,54.2,59.9,66.2,73.2,74.6,75.1,83.0,91.7,98.5,104.6,113.1,122.3,132.2,143.0,154.6,167.2,168.4,190.5,206.0,222.9,241.0
Taiwan,Asia Pacific,East Asia,18.3,19.7,21.3,19.6,21.7,24.7,25.8,28.5,31.5,34.8,38.5,42.5,47.0,47.9,48.3,53.3,58.9,63.3,67.2,72.7,78.6,85.0,91.9,99.3,107.4,108.2,122.5,132.5,143.3,155.0
India,Asia Pacific,South Asia,8.5,9.8,11.3,13.0,14.9,17.2,19.7,22.7,26.1,30.0,34.5,39.7,45.6,52.5,60.4,69.4,79.8,91.8,105.6,121.4,139.6,160.6,184.6,212.3,244.2,280.8,323.0,371.4,427.1,491.2
Singapore,Asia Pacific,Southeast Asia,12.4,13.4,14.4,13.3,14.7,16.7,17.5,19.3,21.3,23.6,26.1,28.8,31.9,32.5,32.7,36.2,40.0,43.0,45.6,49.3,53.3,57.6,62.3,67.4,72.9,73.4,83.1,89.9,97.2,105.1
Australia,Asia Pacific,Oceania,42.5,44.3,46.4,48.7,51.0,53.7,52.5,54.0,56.9,60.5,64.6,69.2,74.4,71.8,68.2,72.6,77.1,81.9,86.5,91.5,96.8,102.4,108.4,114.8,121.7,117.2,128.9,136.6,144.6,153.1
New Zealand,Asia Pacific,Oceania,8.5,8.9,9.3,9.7,10.2,10.7,10.5,10.8,11.4,12.1,12.9,13.8,14.9,14.4,13.6,14.5,15.4,16.4,17.3,18.3,19.3,20.5,21.7,23.0,24.3,23.4,25.8,27.3,28.9,30.6
Thailand,Asia Pacific,Southeast Asia,14.2,15.3,16.5,12.1,12.6,14.3,15.0,16.5,18.3,20.2,22.4,24.7,27.3,27.8,28.0,31.0,34.2,36.8,39.0,42.2,45.6,49.3,53.3,57.6,62.3,62.8,71.1,76.9,83.2,90.0
Malaysia,Asia Pacific,Southeast Asia,11.8,12.7,13.7,10.0,10.5,11.9,12.5,13.8,15.2,16.8,18.6,20.6,22.8,23.2,23.4,25.8,28.5,30.7,32.5,35.2,38.0,41.1,44.5,48.1,52.0,52.4,59.3,64.2,69.4,75.1
Indonesia,Asia Pacific,Southeast Asia,12.5,13.5,14.5,10.6,11.1,12.6,13.2,14.5,16.1,17.8,19.7,21.8,24.1,24.6,24.8,27.4,30.2,32.5,34.5,37.3,40.3,43.6,47.2,51.0,55.2,55.6,62.9,68.1,73.6,79.6
Vietnam,Asia Pacific,Southeast Asia,1.2,1.5,1.8,2.2,2.7,3.3,4.0,4.8,5.8,7.0,8.4,10.1,12.2,14.6,17.6,21.1,25.3,30.4,36.5,43.8,52.5,63.0,75.6,90.8,108.9,130.7,156.9,188.2,225.9,271.1
Philippines,Asia Pacific,Southeast Asia,7.8,8.4,9.1,6.6,6.9,7.9,8.2,9.1,10.0,11.1,12.3,13.6,15.0,15.3,15.4,17.0,18.8,20.2,21.5,23.2,25.1,27.1,29.3,31.7,34.3,34.6,39.1,42.3,45.8,49.5
South Africa,Middle East Africa,Southern Africa,18.5,19.3,20.2,21.2,22.2,23.4,22.9,23.5,24.8,26.4,28.2,30.2,32.4,31.3,29.7,31.6,33.6,35.7,37.7,39.9,42.2,44.6,47.2,50.1,53.1,51.1,56.2,59.6,63.1,66.8
Nigeria,Middle East Africa,Western Africa,5.2,5.5,5.8,6.1,6.5,6.9,6.8,7.1,7.6,8.2,8.9,9.7,10.6,10.4,10.0,10.8,11.7,12.7,13.5,14.5,15.6,16.8,18.1,19.5,21.0,20.4,22.8,24.5,26.4,28.4
Kenya,Middle East Africa,Eastern Africa,3.8,4.0,4.2,4.4,4.7,5.0,4.9,5.1,5.4,5.8,6.3,6.9,7.5,7.3,7.0,7.6,8.2,8.9,9.5,10.2,11.0,11.9,12.8,13.9,15.0,14.6,16.3,17.6,19.0,20.4
Egypt,Middle East Africa,Northern Africa,8.5,8.9,9.3,9.8,10.3,10.9,10.6,10.9,11.5,12.3,13.1,14.1,15.1,14.6,13.9,14.8,15.7,16.7,17.6,18.7,19.7,20.9,22.1,23.4,24.8,23.9,26.3,27.9,29.5,31.3
Morocco,Middle East Africa,Northern Africa,5.6,5.8,6.1,6.4,6.7,7.1,6.9,7.1,7.5,8.0,8.5,9.1,9.8,9.5,9.0,9.6,10.2,10.8,11.4,12.1,12.8,13.5,14.3,15.2,16.1,15.5,17.0,18.1,19.1,20.2
UAE,Middle East Africa,Middle East,22.5,24.8,27.3,30.0,33.0,36.3,37.6,40.9,44.5,48.4,52.7,57.4,62.5,63.6,63.9,70.6,78.0,83.9,89.0,96.2,104.0,112.4,121.6,131.5,142.2,143.2,162.1,175.4,189.7,205.2
Saudi Arabia,Middle East Africa,Middle East,28.5,31.4,34.5,37.9,41.7,45.9,47.6,51.7,56.3,61.3,66.7,72.7,79.1,80.5,81.0,89.5,98.8,106.3,112.8,121.9,131.8,142.5,154.1,166.7,180.3,181.6,205.5,222.3,240.5,260.2
Israel,Middle East Africa,Middle East,15.2,16.4,17.7,19.1,20.6,22.2,23.0,25.0,27.2,29.6,32.3,35.2,38.3,39.0,39.3,43.4,47.9,51.5,54.7,59.1,63.9,69.1,74.7,80.8,87.4,88.0,99.6,107.8,116.6,126.2
Turkey,Middle East Africa,Middle East,12.5,13.5,14.5,15.2,16.3,17.8,17.4,17.9,18.9,20.1,21.5,23.0,24.7,23.8,22.6,24.1,25.6,27.2,28.7,30.4,32.1,34.0,36.0,38.1,40.4,38.9,42.8,45.4,48.0,50.8
Qatar,Middle East Africa,Middle East,8.5,9.4,10.3,11.3,12.4,13.7,14.2,15.4,16.8,18.3,19.9,21.7,23.6,24.0,24.2,26.7,29.5,31.7,33.7,36.4,39.4,42.6,46.0,49.8,53.9,54.3,61.4,66.5,71.9,77.8
Kuwait,Middle East Africa,Middle East,6.8,7.5,8.2,9.0,9.9,10.9,11.3,12.3,13.4,14.6,15.9,17.3,18.8,19.1,19.3,21.3,23.5,25.3,26.9,29.0,31.4,34.0,36.7,39.7,43.0,43.3,49.0,53.0,57.3,62.0
Ghana,Middle East Africa,Western Africa,2.1,2.2,2.3,2.5,2.6,2.8,2.7,2.8,3.0,3.2,3.5,3.8,4.1,4.0,3.8,4.1,4.4,4.8,5.1,5.5,5.9,6.4,6.9,7.5,8.1,7.8,8.7,9.4,10.1,10.9
Tanzania,Middle East Africa,Eastern Africa,1.5,1.6,1.7,1.8,1.9,2.0,1.9,2.0,2.1,2.3,2.5,2.7,2.9,2.8,2.7,2.9,3.1,3.4,3.6,3.9,4.2,4.5,4.9,5.3,5.7,5.5,6.1,6.6,7.1,7.7
Ethiopia,Middle East Africa,Eastern Africa,0.8,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.5,1.6,1.8,1.9,2.0,2.2,2.4,2.5,2.7,3.0,3.2,3.1,3.4,3.7,4.0,4.3
Pakistan,Asia Pacific,South Asia,3.2,3.5,3.8,4.2,4.6,5.1,5.6,6.1,6.7,7.4,8.2,9.0,9.9,10.9,12.0,13.2,14.5,16.0,17.6,19.4,21.3,23.5,25.8,28.4,31.3,34.4,37.9,41.7,45.8,50.4
Bangladesh,Asia Pacific,South Asia,1.8,2.0,2.2,2.5,2.8,3.1,3.5,3.9,4.3,4.8,5.4,6.0,6.7,7.5,8.3,9.3,10.4,11.6,12.9,14.4,16.1,17.9,20.0,22.3,24.9,27.8,31.0,34.6,38.6,43.1
